NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
Product KB2211023-RG,KB2211023-RG,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211016-RG,KB2211016-RG,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211004-RG,KB2211004-RG,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211005-RG,KB2211005-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB22THR002-RG,KB22THR002-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211032-RG,KB2211032-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211003-RG,KB2211003-RG,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211002-CG,KB2211002-CG,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211023-CG,KB2211023-CG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211001-CG,KB2211001-CG,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211037-CG,KB2211037-CG,AGALIA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211016-CG,KB2211016-CG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211003-CG,KB2211003-CG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211004-CG,KB2211004-CG,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2211005-CG,KB2211005-CG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
